"hashtags","count","unique_user_count","user_count","Mean","Min_date","mean_timeWindow"
"<U+0001D5E7><U+0001D5D8><U+0001D5DF><U+0001D5D8><U+0001D5E0><U+0001D5D8><U+0001D5D7><U+0001D5DC><U+0001D5D6><U+0001D5DC><U+0001D5E1><U+0001D5D4>",1,1,1,1,2020-05-09,0.05
"<U+BC29><U+D0C4><U+C18C><U+B144><U+B2E8>",1,1,1,1,2020-05-15,0.05
"01May",3,3,3,3,2020-05-02,0.15
"01May20",1,1,1,1,2020-05-02,0.05
"01Mayo",1,1,1,1,2020-05-02,0.05
"02May",2,2,2,1,2020-05-02,0.1
"04May",2,2,2,2,2020-05-04,0.1
"04MAY",1,1,1,1,2020-05-04,0.05
"04MAY20",1,1,1,1,2020-05-05,0.05
"08May",1,1,1,1,2020-05-08,0.05
"09May",1,1,1,1,2020-05-09,0.05
"101TipsParaPrevenirYCombatirElCovid_19",1,1,1,1,2020-05-12,0.05
"1020AM",2,2,2,1,2020-05-04,0.1
"10DeMayo",3,3,3,3,2020-05-10,0.15
"10May",11,11,11,5.5,2020-05-10,0.55
"11May",15,14,15,7.5,2020-05-11,0.75
"11Mayo",5,4,5,1.66666666666667,2020-05-10,0.25
"11MLaMarchaDeLosBarbijos",1,1,1,1,2020-05-02,0.05
"123VuelvoACorrer",1,1,1,1,2020-05-02,0.05
"12deMayoNoSeOlvida",1,1,1,1,2020-05-12,0.05
"12May",7,7,7,3.5,2020-05-12,0.35
"13Noticias",2,2,2,1,2020-05-08,0.1
"14demayo",2,2,2,2,2020-05-15,0.1
"14may",6,3,6,6,2020-05-15,0.3
"14May",14,13,14,7,2020-05-14,0.7
"14MAY",1,1,1,1,2020-05-15,0.05
"14Mayo",2,2,2,2,2020-05-15,0.1
"15demayo",1,1,1,1,2020-05-15,0.05
"15DeMayo",1,1,1,1,2020-05-15,0.05
"15DíasPorSV",1,1,1,1,2020-05-15,0.05
"15M",2,1,2,2,2020-05-15,0.1
"15May",22,22,22,22,2020-05-15,1.1
"15Mayo",4,4,4,4,2020-05-15,0.2
"19marzo",1,1,1,1,2020-05-10,0.05
"1demayo",2,1,2,2,2020-05-02,0.1
"1deMayo",11,11,11,11,2020-05-02,0.55
"1DeMayo",9,9,9,9,2020-05-02,0.45
"1deMayo2020",1,1,1,1,2020-05-02,0.05
"1deMayoCCOO",1,1,1,1,2020-05-02,0.05
"1demayofeminista",1,1,1,1,2020-05-02,0.05
"1May",13,10,13,6.5,2020-05-02,0.65
"1Mayo",18,8,18,9,2020-05-02,0.9
"1MAYO",2,2,2,1,2020-05-02,0.1
"1raEtapa",1,1,1,1,2020-05-02,0.05
"1roDeMayo",1,1,1,1,2020-05-02,0.05
"24Horas",1,1,1,1,2020-05-02,0.05
"24HorasCentral",1,1,1,1,2020-05-06,0.05
"24Play",4,4,4,2,2020-05-02,0.2
"28Abril",1,1,1,1,2020-05-15,0.05
"29Abr",1,1,1,1,2020-05-02,0.05
"2May",21,19,21,7,2020-05-02,1.05
"2Mayo",3,3,3,1.5,2020-05-02,0.15
"30AñosJuntos",1,1,1,1,2020-05-06,0.05
"30díasMásSin",1,1,1,1,2020-05-15,0.05
"3May",3,3,3,3,2020-05-03,0.15
"3Mayo",1,1,1,1,2020-05-03,0.05
"4May",8,7,8,8,2020-05-04,0.4
"4Mayo",5,5,5,2.5,2020-05-04,0.25
"4T",1,1,1,1,2020-05-02,0.05
"4taTransformacion",1,1,1,1,2020-05-02,0.05
"4Tva",1,1,1,1,2020-05-10,0.05
"5DeMayo",1,1,1,1,2020-05-05,0.05
"5G",1,1,1,1,2020-05-02,0.05
"5May",3,3,3,3,2020-05-06,0.15
"5millonesFV",1,1,1,1,2020-05-04,0.05
"6may",1,1,1,1,2020-05-06,0.05
"6May",8,8,8,4,2020-05-06,0.4
"7M",1,1,1,1,2020-05-06,0.05
"7MCacerolazo",1,1,1,1,2020-05-06,0.05
"7MContraElGobierno",1,1,1,1,2020-05-07,0.05
"7MRuidazoEnApoyoAlGobierno",1,1,1,1,2020-05-06,0.05
"8M",2,2,2,1,2020-05-02,0.1
"8Marzo",7,7,7,7,2020-05-02,0.35
"8May",2,2,2,2,2020-05-08,0.1
"8Mayo",1,1,1,1,2020-05-09,0.05
"911CDMX",1,1,1,1,2020-05-03,0.05
"9Años15M",1,1,1,1,2020-05-15,0.05
"9demayo",1,1,1,1,2020-05-09,0.05
"9May",2,2,2,2,2020-05-09,0.1
"9Mayo",4,4,4,2,2020-05-09,0.2
"ABCEnElEste",1,1,1,1,2020-05-04,0.05
"Abelardo",2,1,2,2,2020-05-02,0.1
